operation, active cores, seconds, nanoseconds, bytes, iterations, budget
write, 2, 0, 762857, 131072, 8192, 20
write, 2, 0, 762856, 131072, 8192, 20
write, 2, 0, 762857, 131072, 8192, 20
write, 2, 0, 762856, 131072, 8192, 20
write, 2, 0, 767146, 131072, 8192, 20
write, 2, 0, 762867, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 767226, 131072, 8192, 20
write, 2, 0, 762856, 131072, 8192, 20
write, 2, 0, 762886, 131072, 8192, 20
write, 2, 0, 762886, 131072, 8192, 20
write, 2, 0, 762877, 131072, 8192, 20
write, 2, 0, 767167, 131072, 8192, 20
write, 2, 0, 762856, 131072, 8192, 20
write, 2, 0, 762867, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762877, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 767186, 131072, 8192, 20
write, 2, 0, 762877, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762886, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 767146, 131072, 8192, 20
write, 2, 0, 762856, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762877, 131072, 8192, 20
write, 2, 0, 767237, 131072, 8192, 20
write, 2, 0, 762856, 131072, 8192, 20
write, 2, 0, 762877, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762887, 131072, 8192, 20
write, 2, 0, 767187, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 767116, 131072, 8192, 20
write, 2, 0, 762856, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762887, 131072, 8192, 20
write, 2, 0, 767117, 131072, 8192, 20
write, 2, 0, 762866, 131072, 8192, 20
write, 2, 0, 762857, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 3, 0, 774637, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 779338, 131072, 8192, 20
write, 3, 0, 762856, 131072, 8192, 20
write, 3, 0, 762867, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762887, 131072, 8192, 20
write, 3, 0, 770317, 131072, 8192, 20
write, 3, 0, 762846, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762867, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 769237, 131072, 8192, 20
write, 3, 0, 762856, 131072, 8192, 20
write, 3, 0, 762886, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762877, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 767917, 131072, 8192, 20
write, 3, 0, 762847, 131072, 8192, 20
write, 3, 0, 762856, 131072, 8192, 20
write, 3, 0, 762867, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 767726, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762867, 131072, 8192, 20
write, 3, 0, 767337, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762887, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762877, 131072, 8192, 20
write, 3, 0, 767677, 131072, 8192, 20
write, 3, 0, 762846, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762886, 131072, 8192, 20
write, 3, 0, 767337, 131072, 8192, 20
write, 3, 0, 762867, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762877, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762877, 131072, 8192, 20
write, 3, 0, 767147, 131072, 8192, 20
write, 3, 0, 762846, 131072, 8192, 20
write, 3, 0, 762857, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 767217, 131072, 8192, 20
write, 3, 0, 762856, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 767127, 131072, 8192, 20
write, 3, 0, 762857, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762877, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 767177, 131072, 8192, 20
write, 3, 0, 762857, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 767076, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762886, 131072, 8192, 20
write, 3, 0, 762886, 131072, 8192, 20
write, 3, 0, 767077, 131072, 8192, 20
write, 3, 0, 762857, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762877, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 777128, 131072, 8192, 20
write, 3, 0, 762857, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 768116, 131072, 8192, 20
write, 3, 0, 762856, 131072, 8192, 20
write, 3, 0, 762867, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762877, 131072, 8192, 20
write, 3, 0, 767827, 131072, 8192, 20
write, 3, 0, 762846, 131072, 8192, 20
write, 3, 0, 762867, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762886, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 767166, 131072, 8192, 20
write, 3, 0, 762856, 131072, 8192, 20
write, 3, 0, 762867, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 3, 0, 762887, 131072, 8192, 20
write, 3, 0, 767527, 131072, 8192, 20
write, 3, 0, 762866, 131072, 8192, 20
write, 3, 0, 762877, 131072, 8192, 20
write, 3, 0, 762876, 131072, 8192, 20
write, 0, 0, 1317671, 131072, 8192, 40
write, 0, 0, 1321472, 131072, 8192, 40
write, 0, 0, 1307541, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1314741, 131072, 8192, 40
write, 0, 0, 1307551, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1313482, 131072, 8192, 40
write, 0, 0, 1307551, 131072, 8192, 40
write, 0, 0, 1307581, 131072, 8192, 40
write, 0, 0, 1313372, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1324673, 131072, 8192, 40
write, 0, 0, 1307541, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1313682, 131072, 8192, 40
write, 0, 0, 1307541, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1314381, 131072, 8192, 40
write, 0, 0, 1307540, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1313621, 131072, 8192, 40
write, 0, 0, 1307560, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1314411, 131072, 8192, 40
write, 0, 0, 1307520, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1313311, 131072, 8192, 40
write, 0, 0, 1307531, 131072, 8192, 40
write, 0, 0, 1307570, 131072, 8192, 40
write, 0, 0, 1313121, 131072, 8192, 40
write, 0, 0, 1307541, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1313081, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1313132, 131072, 8192, 40
write, 0, 0, 1308151, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1313151, 131072, 8192, 40
write, 0, 0, 1307530, 131072, 8192, 40
write, 0, 0, 1307581, 131072, 8192, 40
write, 0, 0, 1313171, 131072, 8192, 40
write, 0, 0, 1307551, 131072, 8192, 40
write, 0, 0, 1307560, 131072, 8192, 40
write, 0, 0, 1313041, 131072, 8192, 40
write, 0, 0, 1307541, 131072, 8192, 40
write, 0, 0, 1307581, 131072, 8192, 40
write, 0, 0, 1313051, 131072, 8192, 40
write, 0, 0, 1307541, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1313102, 131072, 8192, 40
write, 0, 0, 1307551, 131072, 8192, 40
write, 0, 0, 1307551, 131072, 8192, 40
write, 0, 0, 1313141, 131072, 8192, 40
write, 0, 0, 1307550, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1320592, 131072, 8192, 40
write, 0, 0, 1307541, 131072, 8192, 40
write, 0, 0, 1307581, 131072, 8192, 40
write, 0, 0, 1313802, 131072, 8192, 40
write, 0, 0, 1307551, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1313232, 131072, 8192, 40
write, 0, 0, 1307531, 131072, 8192, 40
write, 0, 0, 1307571, 131072, 8192, 40
write, 0, 0, 1312952, 131072, 8192, 40
write, 0, 0, 1307541, 131072, 8192, 40
write, 0, 0, 1307561, 131072, 8192, 40
write, 0, 0, 1314011, 131072, 8192, 40
write, 0, 0, 1307560, 131072, 8192, 40
write, 0, 0, 1307581, 131072, 8192, 40
write, 0, 0, 1313281, 131072, 8192, 40
write, 0, 0, 1307520, 131072, 8192, 40
write, 0, 0, 1307570, 131072, 8192, 40
write, 0, 0, 1313811, 131072, 8192, 40
write, 0, 0, 1308161, 131072, 8192, 40
write, 0, 0, 1307580, 131072, 8192, 40
write, 0, 0, 1313201, 131072, 8192, 40
write, 0, 0, 1307551, 131072, 8192, 40
write, 0, 0, 1307551, 131072, 8192, 40
write, 0, 0, 1313892, 131072, 8192, 40
write, 0, 0, 1307541, 131072, 8192, 40
