operation, contention, seconds, nanoseconds, bytes, iterations
write, 3, 0, 886739, 131072, 8192
write, 3, 0, 887169, 131072, 8192
write, 3, 0, 864527, 131072, 8192
write, 3, 0, 887809, 131072, 8192
write, 3, 0, 884829, 131072, 8192
write, 3, 0, 865666, 131072, 8192
write, 3, 0, 886348, 131072, 8192
write, 3, 0, 879958, 131072, 8192
write, 3, 0, 883018, 131072, 8192
write, 3, 0, 889929, 131072, 8192
write, 3, 0, 883588, 131072, 8192
write, 3, 0, 885689, 131072, 8192
